fips,Geographic.Area.Name,Total,Total.Urban,Total.Urban.Inside.urbanized.areas,Total.Urban.Inside.urban.clusters,Total.Rural,Total.undefined
6067,"Sacramento County, California",1418788,1389531,1359243,30288,29257,0
6069,"San Benito County, California",55269,42002,0,42002,13267,0
6071,"San Bernardino County, California",2035210,1938853,1792222,146631,96357,0
6073,"San Diego County, California",3095313,2993259,2964846,28413,102054,0
6075,"San Francisco County, California",805235,805235,805235,0,0,0
6077,"San Joaquin County, California",685306,627241,610468,16773,58065,0
6079,"San Luis Obispo County, California",269637,224887,176368,48519,44750,0
6081,"San Mateo County, California",718451,704865,684152,20713,13586,0
6083,"Santa Barbara County, California",423895,402626,377637,24989,21269,0
6085,"Santa Clara County, California",1781642,1762335,1762335,0,19307,0
6087,"Santa Cruz County, California",262382,230793,230793,0,31589,0
6089,"Shasta County, California",177223,125321,117731,7590,51902,0
6091,"Sierra County, California",3240,9,9,0,3231,0
6093,"Siskiyou County, California",44900,15344,0,15344,29556,0
6095,"Solano County, California",413344,397974,372432,25542,15370,0
6097,"Sonoma County, California",483878,424102,372309,51793,59776,0
6099,"Stanislaus County, California",514453,473396,433288,40108,41057,0
6101,"Sutter County, California",94737,80718,72171,8547,14019,0
6103,"Tehama County, California",63463,30787,0,30787,32676,0
6105,"Trinity County, California",13786,0,0,0,13786,0
6107,"Tulare County, California",442179,373730,289726,84004,68449,0
6109,"Tuolumne County, California",55365,28255,0,28255,27110,0
6111,"Ventura County, California",823318,797593,752770,44823,25725,0
6113,"Yolo County, California",200849,186931,176572,10359,13918,0
6115,"Yuba County, California",72155,53234,44548,8686,18921,0
8001,"Adams County, Colorado",441603,425615,425615,0,15988,0
8003,"Alamosa County, Colorado",15445,9751,0,9751,5694,0
8005,"Arapahoe County, Colorado",572003,562992,562992,0,9011,0
8007,"Archuleta County, Colorado",12084,4909,0,4909,7175,0
8009,"Baca County, Colorado",3788,0,0,0,3788,0
8011,"Bent County, Colorado",6499,4032,0,4032,2467,0
8013,"Boulder County, Colorado",294567,268312,268312,0,26255,0
8014,"Broomfield County, Colorado",55889,55563,55563,0,326,0
8015,"Chaffee County, Colorado",17809,11146,0,11146,6663,0
8017,"Cheyenne County, Colorado",1836,0,0,0,1836,0
8019,"Clear Creek County, Colorado",9088,0,0,0,9088,0
8021,"Conejos County, Colorado",8256,0,0,0,8256,0
8023,"Costilla County, Colorado",3524,0,0,0,3524,0
8025,"Crowley County, Colorado",5823,0,0,0,5823,0
8027,"Custer County, Colorado",4255,0,0,0,4255,0
8029,"Delta County, Colorado",30952,11399,0,11399,19553,0
8031,"Denver County, Colorado",600158,600158,600158,0,0,0
8033,"Dolores County, Colorado",2064,0,0,0,2064,0
8035,"Douglas County, Colorado",285465,256098,247595,8503,29367,0
8037,"Eagle County, Colorado",52197,41766,0,41766,10431,0
8039,"Elbert County, Colorado",23086,0,0,0,23086,0
8041,"El Paso County, Colorado",622263,566668,559360,7308,55595,0
8043,"Fremont County, Colorado",46824,34453,0,34453,12371,0
8045,"Garfield County, Colorado",56389,42797,0,42797,13592,0
8047,"Gilpin County, Colorado",5441,0,0,0,5441,0
8049,"Grand County, Colorado",14843,2583,0,2583,12260,0
8051,"Gunnison County, Colorado",15324,6343,0,6343,8981,0
8053,"Hinsdale County, Colorado",843,0,0,0,843,0
8055,"Huerfano County, Colorado",6711,2943,0,2943,3768,0
8057,"Jackson County, Colorado",1394,0,0,0,1394,0
8059,"Jefferson County, Colorado",534543,497679,484123,13556,36864,0
8061,"Kiowa County, Colorado",1398,0,0,0,1398,0
8063,"Kit Carson County, Colorado",8270,4243,0,4243,4027,0
8065,"Lake County, Colorado",7310,5039,0,5039,2271,0
8067,"La Plata County, Colorado",51334,20560,0,20560,30774,0
8069,"Larimer County, Colorado",299630,264692,251386,13306,34938,0
8071,"Las Animas County, Colorado",15507,9181,0,9181,6326,0
8073,"Lincoln County, Colorado",5467,0,0,0,5467,0
8075,"Logan County, Colorado",22709,16088,0,16088,6621,0
8077,"Mesa County, Colorado",146723,128124,128124,0,18599,0
8079,"Mineral County, Colorado",712,0,0,0,712,0
8081,"Moffat County, Colorado",13795,10021,0,10021,3774,0
8083,"Montezuma County, Colorado",25535,8380,0,8380,17155,0
8085,"Montrose County, Colorado",41276,22706,0,22706,18570,0
8087,"Morgan County, Colorado",28159,18994,0,18994,9165,0
8089,"Otero County, Colorado",18831,12352,0,12352,6479,0
8091,"Ouray County, Colorado",4436,0,0,0,4436,0
8093,"Park County, Colorado",16206,0,0,0,16206,0
8095,"Phillips County, Colorado",4442,0,0,0,4442,0
8097,"Pitkin County, Colorado",17148,9568,0,9568,7580,0
8099,"Prowers County, Colorado",12551,7796,0,7796,4755,0
8101,"Pueblo County, Colorado",159063,136550,136550,0,22513,0
8103,"Rio Blanco County, Colorado",6666,0,0,0,6666,0
