fips,med.surg.beds,ped.med.surg.bed,icu.beds,nicu.beds,ped.icu.beds,calc.tot.beds,lisc.beds,tot.staffed.facility.beds,tot.staffed.hosp.beds,facility.inpatient.days,hosp.inpatiend.days
51640,45,5,8,0,0,86,141,86,0,10789,0
51650,130,0,24,0,0,620,224,620,0,160912,0
51199,0,0,0,0,0,60,0,60,0,7993,0
51660,168,12,10,0,0,244,244,244,0,52833,0
51670,0,0,0,0,0,112,0,112,0,23659,0
51017,0,0,0,0,0,25,0,25,0,2227,0
51103,0,0,0,0,0,35,0,35,0,5753,0
51167,53,0,5,0,0,78,78,78,0,7318,0
51163,13,0,2,0,0,15,25,15,0,4902,0
51139,25,0,0,0,0,25,25,25,0,3656,0
51095,116,6,16,0,0,527,185,527,0,160259,0
51153,131,0,16,0,0,201,183,201,0,46567,0
51683,0,0,0,0,0,87,0,87,0,27250,0
51173,26,0,4,0,0,319,44,319,44,91811,5496
51089,0,0,0,0,0,150,0,150,0,23445,0
51001,11,0,5,0,0,22,52,22,0,8212,0
51127,0,94,0,0,0,118,118,118,0,31498,0
51073,24,0,6,0,0,30,67,30,0,10327,0
51720,59,0,18,0,0,140,247,140,26,25417,7211
51071,10,0,0,0,0,10,25,10,0,4784,0
51740,0,0,0,0,0,740,0,740,0,152152,0
51155,0,0,0,0,0,54,0,54,0,9391,0
51185,43,11,12,0,0,99,231,99,71,16342,11250
51085,195,0,16,6,0,291,265,291,0,78499,0
51770,427,15,30,21,3,643,737,643,0,206583,0
51067,14,0,4,0,0,18,37,18,0,5137,0
51083,40,0,12,0,0,441,576,441,57,139954,14621
51117,56,0,10,0,0,206,210,206,70,44793,12280
51790,0,0,0,0,0,306,0,306,0,102985,0
51800,127,0,12,0,0,175,175,175,0,43572,0
51057,13,0,3,0,0,16,67,16,0,5437,0
51061,66,0,10,0,0,160,210,160,70,48835,16438
51840,273,15,36,30,0,485,455,485,0,121199,0
51171,21,0,4,0,0,25,25,25,0,5030,0
51197,46,0,6,0,0,70,100,70,0,7184,0
54011,425,34,32,18,10,1071,896,1071,374,306900,89164
54061,329,36,56,39,15,933,866,933,0,262222,0
54081,264,20,19,0,0,562,473,562,0,128628,0
54039,751,41,58,31,9,1264,1475,1264,40,297502,4089
54069,0,0,0,0,0,564,0,564,0,134317,0
54065,25,0,0,0,0,41,41,41,25,8909,3092
54055,153,19,24,0,0,347,359,347,0,59981,0
54097,13,2,4,0,0,51,51,51,25,10144,4492
54033,167,18,10,0,0,450,407,450,0,109953,0
54083,34,9,9,0,0,80,80,80,0,10325,0
54007,15,0,0,0,0,25,25,25,0,740,0
54049,0,0,0,0,0,144,0,144,0,28951,0
54051,5,0,9,0,0,50,90,50,0,6460,0
54091,25,0,0,0,0,25,25,25,0,7958,0
54013,18,0,0,0,0,42,42,42,18,10357,2007
54089,25,0,0,0,0,25,25,25,0,2445,0
54099,0,0,0,0,0,80,0,80,0,19798,0
